freq                    	Gain                    	Phase                   
1                        	18.354187081655048530138 	-5.971274315398439114233 
1.0964781961431850909605 	18.344664841621426631946 	-6.542574339440935915491 
1.2022644346174129470484 	18.333244162333585336455 	-7.167483730361755789318 
1.3182567385564070150394 	18.319553127048532559229 	-7.85070502341223441789  
1.4454397707459274435848 	18.303149817244651842429 	-8.597251006208544765741 
1.5848931924611135979575 	18.283510371399152916183 	-9.412432389088067452576 
1.7378008287493753591946 	18.260015539290659347671 	-10.3018327053578548913  
1.9054607179632472302444 	18.231935780191598439615 	-11.27126652137614293281 
2.0892961308540396458966 	18.198415084849706602199 	-12.32671630605756085686 
2.2908676527677731549204 	18.158453891116227651992 	-13.47424262619580481726 
2.5118864315095801309496 	18.110891724928002588513 	-14.71986182562604916768 
2.7542287033381662730847 	18.054390541909217660077 	-16.0693852065342213109  
3.0199517204020160932032 	17.987420172686103825299 	-17.52821423479019813385 
3.3113112148259111755522 	17.908247773101713562482 	-19.10108779236907849963 
3.6307805477010139938443 	17.814933709764815716881 	-20.79178041155910605653 
3.9810717055349722492963 	17.705336794625793572777 	-22.6027551507315571655  
4.3651583224016601292305 	17.577132096231093072447 	-24.53478157809410120649 
4.7863009232263840075916 	17.427844529377779281276 	-26.5865381549203441125  
5.2480746024977253938459 	17.254900858120038265042 	-28.75422851176833560771 
5.7543993733715694816055 	17.055701453047760196569 	-31.03125124261881850884 
6.3095734448019333839852 	16.827711024648557724959 	-33.40797056245287421916 
6.9183097091893648311611 	16.568564697074883440564 	-35.87163748487628112116 
7.585775750291837482564  	16.276182544068028335005 	-38.4065051074638788009  
8.317637711026710789497  	15.948882717628507066365 	-40.99416531803591823291 
9.1201083935590965268148 	15.585481379637043275466 	-43.61410831776722574205 
10                       	15.185367565805661271838 	-46.24447451770047479158 
10.964781961431851797784 	14.748543283708917428498 	-48.8629371510786967292  
12.022644346174130802751 	14.275623385570789025678 	-51.44763103264733672404 
13.182567385564073703108 	13.767795233751821015744 	-53.97803449964110455994 
14.454397707459271771313 	13.226743650090654114138 	-56.43572006833163356987 
15.84893192461113287095  	12.654550868104090355359 	-58.8049123248673879516  
17.378008287493752703767 	12.053583365221150813795 	-61.07282281043896432493 
19.054607179632473190622 	11.42637735802804144214  	-63.22976348020539205663 
20.892961308540396458966 	10.775532813776996121646 	-65.2690661794840281118  
22.908676527677737766453 	10.103622836300676368637 	-67.1868517887072727035  
25.118864315095795092247 	9.4131220425901318549222 	-68.98169869662146425071 
27.542287033381661842668 	8.7063546927201773684146 	-70.65425790519793736166 
30.199517204020160932032 	7.9854612219366218894834 	-72.20685432398119019126 
33.1131121482591126437   	7.2523805347116976349753 	-73.64310367239816912388 
36.3078054770101417148   	6.508844857991089583038  	-74.96756421012827331651 
39.810717055349734039282 	5.756383927729272542706  	-76.18543370097617639658 
43.651583224016583528737 	4.9963355984599280290581 	-77.30229522085943472121 
47.863009232263827641418 	4.2298604497175560368305 	-78.32391070650592723723 
52.480746024977257491173 	3.4579584924836903603307 	-79.25605823851647357969 
57.543993733715694816055 	2.6814865769023366048884 	-80.10440755701139892153 
63.095734448019328510782 	1.901175529993030854925  	-80.87442780797159969097 
69.183097091893657193395 	1.1176463955444595477218 	-81.57132165918933708326 
75.857757502918360614785 	0.3314254100230695221363 	-82.19998043291847977798 
83.176377110267083025974 	-0.457042461572530256397 	-82.76495558400081620221 
91.201083935590972373575 	-1.247381474225554232049 	-83.27044258049581060277 
100                      	-2.039274493475794258757 	-83.72027394266656585842 
109.64781961431850731969 	-2.832453732562316695009 	-84.11791882511458595673 
120.22644346174131158023 	-3.626692711246900735489 	-84.46648706948269591521 
131.82567385564072992565 	-4.421799298295680635817 	-84.76873610890154964181 
144.5439770745927887674  	-5.217609697036001747961 	-85.02707947633015805877 
158.48931924611142108006 	-6.013983237295752459772 	-85.24359596671098415754 
173.78008287493761940823 	-6.810797844436565995352 	-85.42003873864297247565 
190.54607179632463953567 	-7.607946065101752530779 	-85.55784382597192916364 
208.9296130854038722191  	-8.405331538351827447286 	-85.65813767355271579618 
229.08676527677724266141 	-9.202865809176826061844 	-85.72174342326138685166 
251.18864315095797223876 	-10.00046538839185572556 	-85.74918576405175940636 
275.42287033381660421583 	-10.79804896830074412151 	-85.74069423011155777203 
301.99517204020162353117 	-11.59553470705361455373 	-85.69620488987028750216 
331.13112148259108380444 	-12.39283749622158836701 	-85.61536042102819976662 
363.07805477010140293714 	-13.18986612572754424377 	-85.49750861784895050732 
398.10717055349732618197 	-13.9865202579143055317  	-85.34169943153514736878 
436.51583224016610529361 	-14.78268711826803283316 	-85.14668070761386786671 
478.63009232263851799871 	-15.57823780428311266633 	-84.91089286142604919405 
524.80746024977281649626 	-16.37302310640771452199 	-84.6324628302150330228  
575.43993733715660710004 	-17.1668687263664274667  	-84.30919776507697349643 
630.95734448019300089072 	-17.95956976909704394529 	-83.9385790864724867788  
691.83097091893625929515 	-18.750884376120328767   	-83.51775773252302315086 
758.57757502918354930443 	-19.54052636198437653547 	-83.04355169049007656668 
831.76377110267083025974 	-20.32815671384760491947 	-82.51244722984574764268 
912.01083935590963847062 	-21.113373820666620162   	-81.92060566096479590215 
1000                     	-21.89570231756426821335 	-81.26387793529663383651 
1096.4781961431851868838 	-22.67458046916535963078 	-80.53782998406997251095 
1202.264434617413144224  	-23.44934608138850151704 	-79.73778235595531782565 
1318.2567385564075266302 	-24.21922103487927557808 	-78.85886843468072981977 
1445.4397707459279445175 	-24.98329468739741088257 	-77.89611624223121566502 
1584.8931924611140402703 	-25.74050661049418664561 	-76.84455946717491769959 
1737.8008287493762509257 	-26.48962942022529887254 	-75.69938374866767105686 
1905.4607179632462248264 	-27.22925284018795366592 	-74.45611416971709672907 
2089.2961308540388927213 	-27.95777059480671766778 	-73.11084906107285519283 
2290.867652767772142397  	-28.6733722489373121789  	-71.66054320705980273942 
2511.886431509579779231  	-29.37404263346222066389 	-70.10333995714212562689 
2754.2287033381662695319 	-30.05757193096215829087 	-68.43894621374967357497 
3019.9517204020162353117 	-30.72157969780434072504 	-66.66903662532723728873 
3311.311214825911065418  	-31.36355588307065644926 	-64.79766382736457330793 
3630.7805477010138019978 	-31.98092106853312088788 	-62.8316411843104987156  
3981.0717055349732618197 	-32.57110653580849657374 	-60.78085500030301346897 
4365.1583224016612803098 	-33.13165233137108600658 	-58.65845724124680771183 
4786.3009232263848389266 	-33.66031843308272897275 	-56.4808905424591145561  
5248.0746024977279375889 	-34.15520089365562483863 	-54.26770732887678150291 
5754.3993733715669804951 	-34.61484217667931062579 	-52.04116525694453088136 
6309.5734448019302362809 	-35.0383236429826041558  	-49.8256101164319247232  
6918.3097091893623655778 	-35.4253289529193011731  	-47.6466898377208494253  
7585.775750291835720418  	-35.77617021822334919534 	-45.53047206344434272296 
8317.6377110267094394658 	-36.09177361235103376202 	-43.50255544340289759475 
9120.1083935590959299589 	-36.37362679612193971934 	-41.58726649140997722043 
10000                    	-36.62369563976250930182 	-39.80701903057807555797 
10964.781961431850504596 	-36.8443212066883489797  	-38.18188610383537451298 
12022.644346174130987492 	-37.03810922946808403822 	-36.72940187535948552977 
13182.567385564074356807 	-37.20782343181832629853 	-35.46458099646476824773 
14454.397707459280354669 	-37.35629162794091939759 	-34.4001206850455432118  
15848.931924611140857451 	-37.48633038803613004575 	-33.54673877447588381528 
17378.008287493761599762 	-37.60069096466196469919 	-32.91359868338670935373 
19054.607179632483166642 	-37.7020221943556563815  	-31.97138102251020796984 
20892.961308540408936096 	-37.79286055651048314985 	-31.75047502435012702904 
22908.676527677747799316 	-37.87564993759544051954 	-31.76766646619530121143 
25118.864315095823258162 	-37.95274034784297612077 	-32.03006220339711518363 
27542.28703338168998016  	-38.02637173062518627376 	-32.93151020360920711028 
30199.517204020190547453 	-38.09892249283230825085 	-33.74570581460497464832 
33113.112148259075183887 	-38.17268099489334076679 	-34.83508208902804881291 
36307.805477010100730695 	-38.24990225210132166467 	-35.70111614868479676943 
39810.717055349690781441 	-38.33352829099001723989 	-37.32905675853478300041 
43651.583224016561871395 	-38.4262949815257925934  	-39.26881638849324929197 
47863.009232263801095542 	-38.53165503017092419213 	-41.98700309158958532407 
52480.746024977233901154 	-38.65303480664387336674 	-44.64928802997955870069 
57543.993733715666166972 	-38.79489515928475640294 	-48.07485667977178422916 
63095.73444801929872483  	-38.96280855531386322355 	-50.98349529563532911425 
69183.097091893621836789 	-39.1629756046658599189  	-54.84477816275450834382 
75857.757502918364480138 	-39.40317058162824537249 	-59.58597842667732180644 
83176.3771102670871187   	-39.69321243884361649634 	-63.8840949081108888663  
91201.083935590970213525 	-40.04544230737057830538 	-69.67346589672732193321 
100000                   	-44.97898940744182993967 	-84.0886364471399190279  
109647.81961431850504596 	-41.00594382419636474424 	-82.06373838070665271971 
120226.44346174130623695 	-41.65948134188123930244 	-89.79238131162649949601 
131825.67385564075084403 	-42.47590514547655971    	-97.30181566549534011301 
144543.97707459281082265 	-43.50779809857353797042 	-106.0544162743917127045 
158489.31924611140857451 	-44.83431672179798965772 	-116.2596701375230026088 
173780.08287493762327358 	-46.58331761524215153258 	-126.8893955374966679983 
190546.07179632483166642 	-48.98892826894739016552 	-138.6013678770303272358 
208929.61308540409663692 	-52.54143698122165062614 	-152.4179273445025728506 
229086.76527677747071721 	-58.86930140750373396941 	-166.5536377000607615173 
251188.64315095820347778 	-86.49618605818757544057 	-4.460078393469451896181 
275422.87033381691435352 	-58.99659105355215871214 	-19.935698183162521957   
301995.17204020189819857 	-54.03373985102840038053 	-38.01400775798407494221 
331131.12148259079549462 	-51.86779632677882290182 	-59.59972570962276705586 
363078.05477010103641078 	-51.35754096378099120557 	-81.73074441600985551304 
398107.17055349692236632 	-52.41823452756685242093 	-107.5749432223398684982 
436515.83224016561871395 	-55.71466494644813849391 	-135.0841982770398601588 
478630.09232263802550733 	-65.00576276201306313851 	-164.9024606020527414785 
524807.4602497722953558  	-64.89223300694555973678 	-18.74752581764131420528 
575439.93733715661801398 	-57.10319875700983516253 	-54.12712242303219767336 
630957.3444801929872483  	-56.07479537354423371198 	-94.46379095762853239648 
691830.97091893630567938 	-60.28987937000293584333 	-138.1048513960495540687 
758577.57502918352838606 	-77.77200165848449842088 	-6.748702405488834266123 
831763.77110267092939466 	-59.85827496291815918994 	-58.36239061000876660046 
912010.83935590973123908 	-60.18290810740851526361 	-116.7420573135148913479 
1000000                  	-69.60447551513202313345 	-90.55473101402104418867 
