Frequency               	V(Vo)                   	V(Vx)                                    
0                        	12.009597748108181036741 	12.009519232449969550203 
3333.3333333332379879721 	12.009597748108181036741 	12.009519232449967773846 
6666.6666666664759759442 	3.22443956860046537e-15  	2.747211357514119503e-16 
9999.9999999997144186636 	9.455316616895938634e-15 	0.0001319468637294121574 
13333.333333332951951888 	1.059360534789999689e-14 	0.0002638937274580033568 
16666.666666666191304103 	4.508673348078111729e-15 	0.000131946863729210035  
19999.999999999428837327 	2.540756033628506365e-15 	7.166268436821935817e-17 
23333.333333332666370552 	6.837275636347426234e-14 	0.0011785005026959192564 
26666.666666665903903777 	1.341087299913623492e-13 	0.0023570010053914729198 
29999.999999999141437002 	6.885550876286956394e-14 	0.0011785005026958149561 
33333.333333332382608205 	3.037963832923238732e-15 	5.431169447006623003e-17 
36666.666666665616503451 	7.75343611560418645e-14  	0.0003430659662236703916 
39999.999999998857674655 	1.524245674854984111e-13 	0.0006861319324467994411 
43333.333333332091569901 	7.644615258548558755e-14 	0.0003430659662231881927 
46666.666666665332741104 	4.178462884121382435e-15 	4.555027731637816838e-16 
49999.99999999856663635  	9.616838861244553209e-15 	0.0008954287416368427377 
53333.333333331807807554 	1.415311172317330011e-14 	0.0017908574832701362311 
56666.666666665048978757 	4.471497576522974694e-15 	0.0008954287416336239583 
59999.999999998282874003 	8.286715244637161012e-15 	2.041849461926796346e-16 
63333.333333331524045207 	7.313810700998677927e-12 	0.0004084760936544556205 
66666.66666666476521641  	1.462439005999131396e-11 	0.0008169521873091254794 
69999.999999997991835698 	7.312557682343324125e-12 	0.0004084760936547253158 
73333.333333331233006902 	2.256245741975546562e-14 	1.813392832004926674e-16 
76666.666666664474178106 	1.791780629795185345e-14 	0.0005041440680387882433 
79999.999999997715349309 	2.6756291255418649e-14   	0.0010082881360780593903 
83333.333333330956520513 	1.329984204541459848e-14 	0.0005041440680388861468 
86666.666666664183139801 	1.53108043393758239e-15  	2.018067330966735245e-16 
89999.999999997424311005 	4.038047988155295414e-14 	0.0002685076689982727636 
93333.333333330665482208 	7.835268880657668661e-14 	0.0005370153379970007837 
96666.666666663906653412 	3.866302008315926334e-14 	0.0002685076689987044929 
99999.9999999971332727   	2.068476599610362527e-15 	1.075367463265169659e-15 
103333.3333333303744439  	5.24975674958907822e-14  	0.0001026172368199978265 
106666.66666666361561511 	1.059978578637517533e-13 	0.0002052344736404345651 
109999.99999999685678631 	5.622718727156826865e-14 	0.0001026172368202469084 
113333.33333333009795751 	5.027145129371321779e-15 	1.706117183967400369e-16 
116666.6666666633245768  	1.119735774082802449e-14 	9.723217262512771377e-05 
119999.99999999656574801 	1.908770415861911847e-14 	0.0001944643452504480903 
123333.33333332980691921 	1.364435065051553955e-14 	9.723217262518318426e-05 
126666.66666666304809041 	2.196796430956525138e-14 	6.224147273714964098e-17 
129999.9999999962747097  	7.919176035633251996e-12 	0.0002112817840242207207 
133333.33333332953043282 	1.587326554340819016e-11 	0.0004225635680481884971 
136666.66666666275705211 	7.941822904205636083e-12 	0.0002112817840240651919 
139999.9999999959836714  	1.034326205870894037e-14 	2.265532085670097772e-16 
143333.33333332923939452 	1.791729688171832369e-14 	0.0006994274833170009741 
146666.6666666624660138  	3.37693416030363346e-14  	0.001398854966636285278  
149999.99999999572173692 	1.445110539137922458e-14 	0.0006994274833192037476 
153333.33333332894835621 	5.609211219900303033e-15 	2.884485371699006122e-16 
156666.6666666621749755  	4.813062614119850375e-14 	0.0003661538748759781705 
159999.99999999543069862 	9.257456348862974291e-14 	0.0007323077497518715563 
163333.33333332865731791 	4.756801778752276043e-14 	0.0003661538748762395716 
166666.66666666191304103 	9.92457967030111777e-16  	1.904598121701738861e-17 
169999.99999999513966031 	6.265264321253024827e-14 	0.001758841170646353088  
173333.3333333283662796  	1.246343635951491537e-13 	0.0035176823412929221491 
176666.66666666162200272 	6.274899632472843394e-14 	0.0017588411706462938906 
179999.99999999484862201 	7.422178630520668995e-16 	4.566281712984530897e-17 
183333.3333333280752413  	5.299712005401567988e-15 	0.0003364810031068809831 
186666.66666666133096442 	1.112116901609197065e-14 	0.0006729620062142290405 
189999.9999999945575837  	2.900318108527692594e-15 	0.000336481003106493435  
193333.33333332781330682 	6.405044910398554959e-15 	1.924071005124864051e-16 
196666.66666666103992611 	0.0034240180499434322292 	10.810527078323209693167 
199999.9999999942665454  	0.0068480360999002096861 	21.621054156646419386334 
203333.33333332752226852 	0.0034240180499577927038 	10.810527078323209693167 
206666.66666666074888781 	1.124086089146105957e-14 	3.338260815380004046e-16 
209999.99999999400461093 	5.305216548453693472e-15 	0.0001499950555578895772 
213333.33333332723123021 	1.185493932077799063e-14 	0.0002999901111178048235 
216666.6666666604578495  	9.652725988917129156e-15 	0.0001499950555587519787 
219999.99999999371357262 	4.387890845990217887e-15 	1.26640588595603296e-16  
223333.33333332694019191 	3.674515251261960341e-14 	9.343759407669156066e-05 
226666.66666666019591503 	7.160305720484150846e-14 	0.0001868751881532135792 
229999.99999999342253432 	3.583982759999496517e-14 	9.343759407651608254e-05 
233333.33333332664915361 	1.081354742999917962e-15 	1.127904633389536666e-16 
236666.66666665990487672 	6.894692469840945497e-14 	0.0001187141530972707029 
239999.99999999313149601 	1.3725444783228151e-13   	0.0002374283061942789746 
243333.33333332638721913 	6.950462707320256904e-14 	0.0001187141530969706499 
246666.66666665961383842 	2.969389302064430101e-15 	5.34540500562551713e-16  
249999.99999999284045771 	3.700645389133832239e-15 	0.0005661034147045323085 
253333.33333332609618083 	1.016322633988368477e-14 	0.0011322068294067539652 
256666.66666665932280011 	8.758919662496805514e-15 	0.0005661034147025392196 
259999.9999999925494194  	4.179283651879358234e-15 	1.329127556708543112e-16 
263333.33333332580514252 	2.969524502556334056e-12 	0.0003660284004426448768 
266666.66666665906086564 	5.945229001940227182e-12 	0.0007320568008853026555 
269999.9999999922583811  	2.975719635890061322e-12 	0.0003660284004427766615 
273333.33333332551410422 	7.41151697566416323e-15  	2.592114059828670147e-16 
276666.66666665876982734 	7.537047460833212376e-15 	0.0006153078523110478521 
279999.99999999196734279 	2.042420556912408181e-14 	0.0012306157046221564196 
283333.33333332522306591 	9.593507787080873436e-15 	0.0006153078523109884379 
286666.66666665847878903 	2.313559489735287233e-15 	3.016332753798054985e-16 
289999.99999999167630449 	2.05734279840404626e-14  	0.0004820950934741954907 
293333.33333332493202761 	3.719637747191788418e-14 	0.0009641901869490413944 
296666.66666665818775073 	1.831819489615219315e-14 	0.0004820950934744644813 
299999.99999999144347385 	2.864811424951603228e-15 	2.440804068705512977e-15 
303333.3333333246409893  	4.582616277211982726e-14 	0.0004135546115598231326 
306666.66666665789671242 	8.694601873191270385e-14 	0.0008271092231204667895 
