freq                    	Gain                    	Phase                   
1                        	-3.523168146409081824544 	-0.596627158371699772843 
1.0964781961431850909605 	-3.523264300608009325089 	-0.654183799266069176959 
1.2022644346174129470484 	-3.523379900535863029631 	-0.717291850974360656323 
1.3182567385564070150394 	-3.523518878103433671356 	-0.786486410386963208374 
1.4454397707459274435848 	-3.523685959945840995289 	-0.862354042673853626866 
1.5848931924611135979575 	-3.523886827908962793288 	-0.945537696954536377447 
1.7378008287493753591946 	-3.52412831189783926078  	-1.036742080363574070034 
1.9054607179632472302444 	-3.524418621559403774768 	-1.136739529705450335584 
2.0892961308540396458966 	-3.524767624598919457668 	-1.246376422074864098732 
2.2908676527677731549204 	-3.525187181050530416115 	-1.366580167715669702488 
2.5118864315095801309496 	-3.52569154467026235622  	-1.498366829807733058288 
2.7542287033381662730847 	-3.52629784481765229387  	-1.642849416556238395515 
3.0199517204020160932032 	-3.527026664782261455855 	-1.80124689057785403179  
3.3113112148259111755522 	-3.527902735625132901731 	-1.974893938665796655485 
3.6307805477010139938443 	-3.528955768238532186842 	-2.165251540983761824322 
3.9810717055349722492963 	-3.530221450649841496983 	-2.373918371770464386117 
4.3651583224016601292305 	-3.531742642637150986218 	-2.602643052695247760653 
4.7863009232263840075916 	-3.533570805623877486568 	-2.853337263709429194591 
5.2480746024977253938459 	-3.535767712636943560511 	-3.128089692809270960794 
5.7543993733715694816055 	-3.538407490953888512308 	-3.429180773256410574845 
6.3095734448019333839852 	-3.541579058931931811571 	-3.759098111545947862311 
6.9183097091893648311611 	-3.545389028464448699651 	-4.120552448016626456706 
7.585775750291837482564  	-3.549965155342316602827 	-4.516493909769757841843 
8.317637711026710789497  	-3.55546043134506195571  	-4.95012820666409325554  
9.1201083935590965268148 	-3.562057923604591280764 	-5.424932278504717153567 
10                       	-3.569976477869530206988 	-5.944668716714411438318 
10.964781961431851797784 	-3.579477411454348168007 	-6.513398047071911278749 
12.022644346174130802751 	-3.590872326888670418299 	-7.135487660922367858518 
13.182567385564073703108 	-3.60453217569032746681  	-7.815615809844501882253 
14.454397707459271771313 	-3.620897689149255693764 	-8.558768623759938520834 
15.84893192461113287095  	-3.640491263857885240185 	-9.370227569512419307785 
17.378008287493752703767 	-3.663930336401650222911 	-10.25554413897311256676 
19.054607179632473190622 	-3.691942194482379591136 	-11.22049786033367269056 
20.892961308540396458966 	-3.725380039120844255507 	-12.27103300494682969202 
22.908676527677737766453 	-3.765239921291569480388 	-13.4131686926811877214  
25.118864315095795092247 	-3.812677913327466860949 	-14.65287661042358102748 
27.542287033381661842668 	-3.869026530716724199266 	-15.99592044772814602993 
30.199517204020160932032 	-3.935808991762271169534 	-17.44765169736081134033 
33.1131121482591126437   	-4.014749405297367346179 	-19.0127580240596465444  
36.3078054770101417148   	-4.107776450702579573715 	-20.69496338636280441392 
39.810717055349734039282 	-4.217017638158699455175 	-22.49668390708351140006 
43.651583224016583528737 	-4.344780935596174842317 	-24.41865039221000088787 
47.863009232263827641418 	-4.493520594623798380951 	-26.45951732366195940926 
52.480746024977257491173 	-4.665784603384753204125 	-28.61548844188333617922 
57.543993733715694816055 	-4.8641425273637732829   	-30.87999922002195773985 
63.095734448019328510782 	-5.091094667028409403997 	-33.24350424732904940583 
69.183097091893657193395 	-5.348966375482914870076 	-35.69341976310720099264 
75.857757502918360614785 	-5.639794684326053797463 	-38.214265326893368524   
83.176377110267083025974 	-5.965217443050129020321 	-40.78803204360458067868 
91.201083935590972373575 	-6.326377167801330081431 	-43.39477844057706334979 
100                      	-6.723851953921368362899 	-46.01342271166214459299 
109.64781961431850731969 	-7.157623724318797009403 	-48.6226680748063131432  
120.22644346174131158023 	-7.627089948657713947    	-51.20197396554308255645 
131.82567385564072992565 	-8.131119589484846699179 	-53.73247571407041078828 
144.5439770745927887674  	-8.66814861371332945339  	-56.19776138811922550076 
158.48931924611142108006 	-9.236306122538861629323 	-58.58443408855929845913 
173.78008287493761940823 	-9.833559726782567622649 	-60.88241502198248866762 
190.54607179632463953567 	-10.4578682996962957219  	-63.08496992441683204333 
208.9296130854038722191  	-11.10733116340134429834 	-65.18846327474658153278 
229.08676527677724266141 	-11.78032430263491470157 	-67.1918589489283704097  
251.18864315095797223876 	-12.47561560959868209864 	-69.09599376515946289601 
275.42287033381660421583 	-13.19245205071382542883 	-70.90265530945403327223 
301.99517204020162353117 	-13.93061207019581182465 	-72.61350145319836713043 
331.13112148259108380444 	-14.69041694246039142513 	-74.22886849725766467145 
363.07805477010140293714 	-15.47269572978461127377 	-75.74652758280404896141 
398.10717055349732618197 	-16.27870039652759004412 	-77.16046184530337370688 
436.51583224016610529361 	-17.10997045495305002305 	-78.45974533948847806641 
478.63009232263851799871 	-17.96814976064792901411 	-79.62760553429838239481 
524.80746024977281649626 	-18.8547609334980705853  	-80.64074373904897186094 
575.43993733715660710004 	-19.77094463504086263583 	-81.46897563900674299475 
630.95734448019300089072 	-20.71717133309653036122 	-82.07524353720994270134 
691.83097091893625929515 	-21.69293264366959306244 	-82.41604991105845101629 
758.57757502918354930443 	-22.69641892850843589713 	-82.44237390837116663533 
831.76377110267083025974 	-23.72419120918866752845 	-82.10116068632881081157 
912.01083935590963847062 	-24.77086094702559648795 	-81.33751518597379970288 
1000                     	-25.82880384452598576672 	-80.09777425681771489963 
1096.4781961431851868838 	-26.88795665463621276103 	-78.33364179764991774846 
1202.264434617413144224  	-27.9357797561666778563  	-76.00748797001236312099 
1318.2567385564075266302 	-28.95750580812716634682 	-73.09864325158038411701 
1445.4397707459279445175 	-29.9368136687889290215  	-69.60998095440271526968 
1584.8931924611140402703 	-30.85702686827399432445 	-65.57332037027059357115 
1737.8008287493762509257 	-31.70279680354554230348 	-61.05151234557503414635 
1905.4607179632462248264 	-32.46199805644337033073 	-56.1351012787356111744  
2089.2961308540388927213 	-33.12733716390787463979 	-50.93274777475174630581 
2290.867652767772142397  	-33.69712868669819272327 	-45.55696232295193937034 
2511.886431509579779231  	-34.1749302771300023096  	-40.10890347213714335339 
2754.2287033381662695319 	-34.56815369451473429763 	-34.66652744267689456592 
3019.9517204020162353117 	-34.88612443355528824895 	-29.27884697432700278341 
3311.311214825911065418  	-35.13815406371458038848 	-23.96657836979315092663 
3630.7805477010138019978 	-35.33203433170350393766 	-18.7275524011271770064  
3981.0717055349732618197 	-35.47312214460909984837 	-13.54463329136106075623 
4365.1583224016612803098 	-35.56400217490799775533 	-8.394228930404100452733 
4786.3009232263848389266 	-35.60463154623404591348 	-3.254121691379881831097 
5248.0746024977279375889 	-35.59285662101422786918 	1.890152815778365580357  
5754.3993733715669804951 	-35.5251954092454838019  	7.0409033313162616707359 
6309.5734448019302362809 	-35.39776975166336114853 	12.186250816715155309566 
6918.3097091893623655778 	-35.20724786080543111666 	17.300660462725545585272 
7585.775750291835720418  	-34.95164148534478698593 	22.347860541739521522686 
8317.6377110267094394658 	-34.63081967386213477766 	27.285490616791324924861 
9120.1083935590959299589 	-34.2466636176543346437  	32.070431980390772253031 
10000                    	-33.80287715804347214998 	36.663680215079054391936 
10964.781961431850504596 	-33.30454870584484439178 	41.033884764775997666675 
12022.644346174130987492 	-32.75760054876581506278 	45.159173179797306829641 
13182.567385564074356807 	-32.16825272427487192317 	49.027371959648064603243 
14454.397707459280354669 	-31.54258671916231548948 	52.635055087539804219432 
15848.931924611140857451 	-30.88624415759156960348 	55.985946408645574479124 
17378.008287493761599762 	-30.20425616414561886813 	59.089129496683071351981 
19054.607179632483166642 	-29.51007191094742054815 	62.147823926873179800623 
20892.961308540408936096 	-28.78970619513627227093 	64.816737596646873953432 
22908.676527677747799316 	-28.05486963723033966289 	67.283856679419741908532 
25118.864315095823258162 	-27.30808347364608579255 	69.566043362854671272544 
27542.28703338168998016  	-26.55737853475991983032 	71.822808981400655170546 
30199.517204020190547453 	-25.7928894109579829319  	73.799753656482707242503 
33113.112148259075183887 	-25.02143478442008017737 	75.642249175551512507809 
36307.805477010100730695 	-24.24870600144125631914 	77.480482020558625322337 
39810.717055349690781441 	-23.46625681087483883402 	79.111797394067721711508 
43651.583224016561871395 	-22.67863682614994047526 	80.655536472969629357976 
47863.009232263801095542 	-21.89013223096326399286 	82.229474688465487020039 
52480.746024977233901154 	-21.09139709895682557317 	83.657681902788993966169 
57543.993733715666166972 	-20.28876034631586833257 	85.144303392449401712838 
63095.73444801929872483  	-19.47426872046195711619 	86.6315478723334138067   
69183.097091893621836789 	-18.63731076806911346466 	88.138024654019503145719 
75857.757502918364480138 	-17.76813382295375731701 	90.026549740907157115544 
83176.3771102670871187   	-16.80455246947188641116 	93.217376198376172169446 
91201.083935590970213525 	-15.01719985774749410723 	105.62871299940616154345 
100000                   	10.33879709505851707263  	273.46216825502580149987 
109647.81961431850504596 	-19.68881962234822680102 	441.98392545564877309516 
120226.44346174130623695 	-16.77481320488820415449 	452.36569829034863232664 
131825.67385564075084403 	-15.35680383490024603077 	454.9857731859526666085  
144543.97707459281082265 	-14.39117714202216902208 	456.81763144393693210077 
158489.31924611140857451 	-13.62974545999023412435 	458.48455781650392282245 
173780.08287493762327358 	-13.1118966822527411864  	460.63869285782027418463 
190546.07179632483166642 	-13.67871165165529490082 	472.0154150844376204077  
208929.61308540409663692 	-13.17522317064633519124 	451.67488625837654581119 
229086.76527677747071721 	-11.16370433255690919339 	463.91024208568819631182 
251188.64315095820347778 	-10.50821653112432763066 	466.3616974912284263155  
275422.87033381691435352 	-10.14247720110240713609 	469.1628311899210075353  
301995.17204020189819857 	-11.70523862681642057737 	373.68530675874325197583 
331131.12148259079549462 	-9.989317734490866129704 	472.208987519673485167   
363078.05477010103641078 	-9.385548503078934956534 	474.53410238593335179758 
398107.17055349692236632 	-6.349770932845059334682 	574.72687332001021331962 
436515.83224016561871395 	-8.949012893386067091228 	479.15564755608170344203 
478630.09232263802550733 	-8.835996156872607087962 	482.71565338825155322411 
524807.4602497722953558  	-9.127655427516232933272 	483.34744917136100639254 
575439.93733715661801398 	-8.835477840876130528613 	487.37448778661428150372 
630957.3444801929872483  	-8.687480265110135491113 	489.0110671781231985733  
691830.97091893630567938 	-9.734510745642895201968 	506.10842622087687914245 
758577.57502918352838606 	-8.723654745894595663458 	494.88623416396347920454 
831763.77110267092939466 	-8.731224167194165275419 	497.04355103357642065021 
912010.83935590973123908 	-9.9548360821142551913   	493.90862360000005537586 
1000000                  	46.060850904757302259895 	450.40657181991230118001 
